nome,porcentagem_desconto,preço,tipo
Watch Dogs,-75%,"R$ 22,49",Padrão
Tom Clancy's Rainbow Six Vegas,-75%,"R$ 7,49",Padrão
Tom Clancy's Splinter Cell Blacklist,-75%,"R$ 22,49",Padrão
Tom Clancy's Rainbow Six Vegas 2,-75%,"R$ 7,49",Padrão
Monster Hunter Rise: Sunbreak,-32%,"R$ 114,68",DLC
Euro Truck Simulator 2 - Viking Legends,0,"R$ 4,49",DLC
EA - Gift Card Digital R$125,0,"R$ 125,00",Padrão
Crunchyroll Mega Fan - 12 Meses,0,"R$ 199,99",Padrão
DEVIL MAY CRY 5 DELUXE + VERGIL,-50%,"R$ 59,99",Padrão
Tom Clancy's Ghost Recon Breakpoint - Deluxe Edition,-80%,"R$ 41,99",Padrão
Tom Clancy's Ghost Recon Breakpoint - Ultimate Edition,-80%,"R$ 71,99",Padrão
Far Cry New Dawn - Deluxe Edition,-80%,"R$ 29,99",Padrão
NARUTO TO BORUTO - SHINOBI STRIKER Deluxe Edition,-90%,"R$ 23,99",Padrão
F.E.A.R. - Ultimate Shooter Edition,0,"R$ 16,99",Padrão
Wolcen: Lords of Mayhem,0,"R$ 75,49",Padrão
Shift Happens,0,"R$ 46,99",Padrão
Conan Exiles,-50%,"R$ 49,74",Padrão
Candle,0,"R$ 18,99",Padrão
Mother Russia Bleeds,0,"R$ 46,99",Padrão
Watch_Dogs 2,-85%,"R$ 22,49",Padrão
Fallout 2: A Post Nuclear Role Playing Game,-75%,"R$ 4,99",Padrão
Dragon Ball Xenoverse,-85%,"R$ 11,99",Padrão
Worms Revolution,0,"R$ 27,99",Padrão
Resident Evil Village - Winters' Expansion,-25%,"R$ 50,17",DLC
American Truck Simulator - Special Transport,0,"R$ 12,19",DLC
Far Cry 6 - Gold Edition,-75%,"R$ 87,49",Padrão
Destiny 2: Legacy Collection,-50%,"R$ 74,99",Padrão
Pilgrims,0,"R$ 13,99",Padrão
Sword Art Online Re: Hollow Fragment,-75%,"R$ 9,49",Padrão
For Honor: Starter Edition,-60%,"R$ 17,99",Padrão
The Crew 2,-80%,"R$ 29,99",Padrão
Remember Me,-80%,"R$ 9,99",Padrão
Destiny 2: Lightfall,-40%,"R$ 89,99",DLC
Euro Truck Simulator 2 - Pirate Paint Jobs Pack,0,"R$ 4,29",DLC
Tom Clancy's Ghost Recon Wildlands Ultimate Edition,-80%,"R$ 65,99",Padrão
